@relation ant-1.5-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute wmc {'\'(-inf-9.1]\'','\'(9.1-18.2]\'','\'(18.2-27.3]\'','\'(27.3-36.4]\'','\'(36.4-45.5]\'','\'(45.5-54.6]\'','\'(54.6-63.7]\'','\'(63.7-72.8]\'','\'(72.8-81.9]\'','\'(81.9-inf)\''}
@attribute dit {'\'(-inf-1.5]\'','\'(1.5-2]\'','\'(2-2.5]\'','\'(2.5-3]\'','\'(3-3.5]\'','\'(3.5-4]\'','\'(4-4.5]\'','\'(4.5-5]\'','\'(5-5.5]\'','\'(5.5-inf)\''}
@attribute noc {'\'(-inf-5.2]\'','\'(5.2-10.4]\'','\'(10.4-15.6]\'','\'(15.6-20.8]\'','\'(20.8-26]\'','\'(26-31.2]\'','\'(31.2-36.4]\'','\'(36.4-41.6]\'','\'(41.6-46.8]\'','\'(46.8-inf)\''}
@attribute cbo {'\'(-inf-19.3]\'','\'(19.3-38.6]\'','\'(38.6-57.9]\'','\'(57.9-77.2]\'','\'(77.2-96.5]\'','\'(96.5-115.8]\'','\'(115.8-135.1]\'','\'(135.1-154.4]\'','\'(154.4-173.7]\'','\'(173.7-inf)\''}
@attribute rfc {'\'(-inf-21.3]\'','\'(21.3-42.6]\'','\'(42.6-63.9]\'','\'(63.9-85.2]\'','\'(85.2-106.5]\'','\'(106.5-127.8]\'','\'(127.8-149.1]\'','\'(149.1-170.4]\'','\'(170.4-191.7]\'','\'(191.7-inf)\''}
@attribute lcom {'\'(-inf-368.7]\'','\'(368.7-737.4]\'','\'(737.4-1106.1]\'','\'(1106.1-1474.8]\'','\'(1474.8-1843.5]\'','\'(1843.5-2212.2]\'','\'(2212.2-2580.9]\'','\'(2580.9-2949.6]\'','\'(2949.6-3318.3]\'','\'(3318.3-inf)\''}
@attribute ca {'\'(-inf-19.2]\'','\'(19.2-38.4]\'','\'(38.4-57.6]\'','\'(57.6-76.8]\'','\'(76.8-96]\'','\'(96-115.2]\'','\'(115.2-134.4]\'','\'(134.4-153.6]\'','\'(153.6-172.8]\'','\'(172.8-inf)\''}
@attribute ce {'\'(-inf-3.5]\'','\'(3.5-7]\'','\'(7-10.5]\'','\'(10.5-14]\'','\'(14-17.5]\'','\'(17.5-21]\'','\'(21-24.5]\'','\'(24.5-28]\'','\'(28-31.5]\'','\'(31.5-inf)\''}
@attribute npm {'\'(-inf-7.7]\'','\'(7.7-15.4]\'','\'(15.4-23.1]\'','\'(23.1-30.8]\'','\'(30.8-38.5]\'','\'(38.5-46.2]\'','\'(46.2-53.9]\'','\'(53.9-61.6]\'','\'(61.6-69.3]\'','\'(69.3-inf)\''}
@attribute lcom3 {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-1]\'','\'(1-1.2]\'','\'(1.2-1.4]\'','\'(1.4-1.6]\'','\'(1.6-1.8]\'','\'(1.8-inf)\''}
@attribute loc {'\'(-inf-424.4]\'','\'(424.4-848.8]\'','\'(848.8-1273.2]\'','\'(1273.2-1697.6]\'','\'(1697.6-2122]\'','\'(2122-2546.4]\'','\'(2546.4-2970.8]\'','\'(2970.8-3395.2]\'','\'(3395.2-3819.6]\'','\'(3819.6-inf)\''}
@attribute dam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute moa {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-9]\'','\'(9-inf)\''}
@attribute mfa {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute cam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute ic {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-2]\'','\'(2-2.4]\'','\'(2.4-2.8]\'','\'(2.8-3.2]\'','\'(3.2-3.6]\'','\'(3.6-inf)\''}
@attribute cbm {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-9]\'','\'(9-inf)\''}
@attribute amc {'\'(-inf-205.2]\'','\'(205.2-410.4]\'','\'(410.4-615.6]\'','\'(615.6-820.8]\'','\'(820.8-1026]\'','\'(1026-1231.2]\'','\'(1231.2-1436.4]\'','\'(1436.4-1641.6]\'','\'(1641.6-1846.8]\'','\'(1846.8-inf)\''}
@attribute max_cc {'\'(-inf-4.7]\'','\'(4.7-9.4]\'','\'(9.4-14.1]\'','\'(14.1-18.8]\'','\'(18.8-23.5]\'','\'(23.5-28.2]\'','\'(28.2-32.9]\'','\'(32.9-37.6]\'','\'(37.6-42.3]\'','\'(42.3-inf)\''}
@attribute avg_cc {'\'(-inf-0.84545]\'','\'(0.84545-1.6909]\'','\'(1.6909-2.53635]\'','\'(2.53635-3.3818]\'','\'(3.3818-4.22725]\'','\'(4.22725-5.0727]\'','\'(5.0727-5.91815]\'','\'(5.91815-6.7636]\'','\'(6.7636-7.60905]\'','\'(7.60905-inf)\''}
@attribute bug {N,Y}

@data
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.4-0.6]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.7-0.8]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(1.8-inf)\'','\'(-inf-424.4]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(-inf-9.1]\'','\'(1.5-2]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(0.8-1]\'','\'(-inf-424.4]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(-inf-9.1]\'','\'(1.5-2]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.4-0.5]\'','\'(0.8-1.2]\'','\'(4-5]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(-inf-9.1]\'','\'(4.5-5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.3-0.4]\'','\'(1.6-2]\'','\'(4-5]\'','\'(-inf-205.2]\'','\'(4.7-9.4]\'','\'(2.53635-3.3818]\'',N
'\'(18.2-27.3]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(42.6-63.9]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(7.7-15.4]\'','\'(0.4-0.6]\'','\'(424.4-848.8]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.5-0.6]\'','\'(0.2-0.3]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(4.7-9.4]\'','\'(2.53635-3.3818]\'',N
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(10.5-14]\'','\'(-inf-7.7]\'','\'(1.8-inf)\'','\'(-inf-424.4]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(27.3-36.4]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(19.3-38.6]\'','\'(85.2-106.5]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(17.5-21]\'','\'(23.1-30.8]\'','\'(0.8-1]\'','\'(424.4-848.8]\'','\'(0.9-inf)\'','\'(1-2]\'','\'(0.5-0.6]\'','\'(0.1-0.2]\'','\'(0.8-1.2]\'','\'(2-3]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',Y
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(-inf-0.2]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(1-2]\'','\'(-inf-0.1]\'','\'(0.6-0.7]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(9.4-14.1]\'','\'(4.22725-5.0727]\'',N
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(20.8-26]\'','\'(38.6-57.9]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(38.4-57.6]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.6-0.7]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(4.7-9.4]\'','\'(0.84545-1.6909]\'',N
'\'(-inf-9.1]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.4-0.5]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(18.2-27.3]\'','\'(3.5-4]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(17.5-21]\'','\'(15.4-23.1]\'','\'(-inf-0.2]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.6-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(36.4-45.5]\'','\'(1.5-2]\'','\'(-inf-5.2]\'','\'(19.3-38.6]\'','\'(106.5-127.8]\'','\'(368.7-737.4]\'','\'(-inf-19.2]\'','\'(7-10.5]\'','\'(23.1-30.8]\'','\'(0.8-1]\'','\'(1273.2-1697.6]\'','\'(0.6-0.7]\'','\'(-inf-1]\'','\'(0.4-0.5]\'','\'(0.1-0.2]\'','\'(0.8-1.2]\'','\'(4-5]\'','\'(-inf-205.2]\'','\'(9.4-14.1]\'','\'(1.6909-2.53635]\'',N
'\'(-inf-9.1]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(7-10.5]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.3-0.4]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(-inf-9.1]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.7-0.8]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(-inf-9.1]\'','\'(4.5-5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(7.7-15.4]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.5-0.6]\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.2-0.3]\'','\'(0.8-1.2]\'','\'(3-4]\'','\'(-inf-205.2]\'','\'(18.8-23.5]\'','\'(5.0727-5.91815]\'',N
'\'(9.1-18.2]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(7.7-15.4]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(9.1-18.2]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(42.6-63.9]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(0.8-1]\'','\'(424.4-848.8]\'','\'(0.5-0.6]\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.2-0.3]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(4.7-9.4]\'','\'(1.6909-2.53635]\'',N
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.4-0.5]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(9.1-18.2]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(9.1-18.2]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(0.4-0.6]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(18.2-27.3]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(42.6-63.9]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(7.7-15.4]\'','\'(0.6-0.8]\'','\'(424.4-848.8]\'','\'(0.4-0.5]\'','\'(-inf-1]\'','\'(0.6-0.7]\'','\'(0.2-0.3]\'','\'(1.6-2]\'','\'(1-2]\'','\'(-inf-205.2]\'','\'(4.7-9.4]\'','\'(1.6909-2.53635]\'',N
'\'(-inf-9.1]\'','\'(3.5-4]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(1.8-inf)\'','\'(-inf-424.4]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.6-0.7]\'','\'(2.8-3.2]\'','\'(3-4]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(27.3-36.4]\'','\'(3.5-4]\'','\'(-inf-5.2]\'','\'(19.3-38.6]\'','\'(127.8-149.1]\'','\'(368.7-737.4]\'','\'(-inf-19.2]\'','\'(21-24.5]\'','\'(15.4-23.1]\'','\'(0.8-1]\'','\'(1697.6-2122]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.7-0.8]\'','\'(0.1-0.2]\'','\'(3.6-inf)\'','\'(3-4]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',Y
'\'(9.1-18.2]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(7.7-15.4]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.7-0.8]\'','\'(0.2-0.3]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(-inf-9.1]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(-inf-0.2]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.6-0.7]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(1.8-inf)\'','\'(-inf-424.4]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(1.8-inf)\'','\'(-inf-424.4]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(-inf-9.1]\'','\'(3.5-4]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.8-1]\'','\'(-inf-424.4]\'','\'(0.6-0.7]\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(1.6-2]\'','\'(3-4]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(18.2-27.3]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(63.9-85.2]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(14-17.5]\'','\'(15.4-23.1]\'','\'(0.8-1]\'','\'(424.4-848.8]\'','\'(0.9-inf)\'','\'(1-2]\'','\'(0.5-0.6]\'','\'(0.1-0.2]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',Y
'\'(-inf-9.1]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(1.8-inf)\'','\'(-inf-424.4]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.5-0.6]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(-inf-0.84545]\'',N
'\'(-inf-9.1]\'','\'(2.5-3]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
'\'(-inf-9.1]\'','\'(3.5-4]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(-inf-0.1]\'','\'(-inf-1]\'','\'(0.9-inf)\'','\'(0.4-0.5]\'','\'(1.6-2]\'','\'(1-2]\'','\'(-inf-205.2]\'','\'(4.7-9.4]\'','\'(1.6909-2.53635]\'',N
'\'(18.2-27.3]\'','\'(3.5-4]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(85.2-106.5]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(17.5-21]\'','\'(15.4-23.1]\'','\'(0.8-1]\'','\'(848.8-1273.2]\'','\'(0.9-inf)\'','\'(3-4]\'','\'(0.7-0.8]\'','\'(0.2-0.3]\'','\'(2.8-3.2]\'','\'(3-4]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',Y
'\'(9.1-18.2]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(63.9-85.2]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(3.5-7]\'','\'(15.4-23.1]\'','\'(0.8-1]\'','\'(424.4-848.8]\'','\'(0.2-0.3]\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.8-1.2]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(4.7-9.4]\'','\'(0.84545-1.6909]\'',N
'\'(-inf-9.1]\'','\'(3.5-4]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(21.3-42.6]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(7-10.5]\'','\'(-inf-7.7]\'','\'(0.4-0.6]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(1-2]\'','\'(0.8-0.9]\'','\'(0.3-0.4]\'','\'(0.8-1.2]\'','\'(2-3]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(1.6909-2.53635]\'',N
'\'(-inf-9.1]\'','\'(-inf-1.5]\'','\'(-inf-5.2]\'','\'(-inf-19.3]\'','\'(-inf-21.3]\'','\'(-inf-368.7]\'','\'(-inf-19.2]\'','\'(-inf-3.5]\'','\'(-inf-7.7]\'','\'(0.6-0.8]\'','\'(-inf-424.4]\'','\'(0.9-inf)\'','\'(-inf-1]\'','\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(-inf-0.4]\'','\'(-inf-1]\'','\'(-inf-205.2]\'','\'(-inf-4.7]\'','\'(0.84545-1.6909]\'',N
